,Previous Day,Next day
0,241.7,235.2
1,235.2,253.1
2,253.1,280.3
3,280.3,281.0
4,281.0,294.7
5,294.7,283.8
6,283.8,283.3
7,283.3,272.9
8,272.9,272.1
9,272.1,272.0
10,272.0,254.4
11,254.4,245.9
12,245.9,239.3
13,239.3,244.2
14,244.2,267.3
15,267.3,273.1
16,273.1,280.6
17,280.6,270.1
18,270.1,283.6
19,283.6,281.4
20,281.4,273.2
21,273.2,276.1
22,276.1,257.5
23,257.5,248.3
24,248.3,236.3
25,236.3,233.7
26,233.7,265.1
27,265.1,281.1
28,281.1,289.4
29,289.4,292.0
30,292.0,290.1
31,290.1,269.7
32,269.7,266.2
33,266.2,284.1
34,284.1,257.0
35,257.0,247.1
36,247.1,248.3
37,248.3,233.0
38,233.0,258.2
39,258.2,284.3
40,284.3,296.8
41,296.8,274.4
42,274.4,267.1
43,267.1,272.5
44,272.5,269.7
45,269.7,277.4
46,277.4,252.8
47,252.8,248.5
48,248.5,242.0
49,242.0,239.0
50,239.0,265.9
51,265.9,287.9
52,287.9,313.4
53,313.4,306.0
54,306.0,301.4
55,301.4,287.4
56,287.4,287.6
57,287.6,288.3
58,288.3,266.4
59,266.4,255.8
60,255.8,260.1
61,260.1,277.1
62,277.1,296.0
63,296.0,296.8
64,296.8,311.2
65,311.2,295.6
66,295.6,282.7
67,282.7,277.9
68,277.9,286.2
69,286.2,298.9
70,298.9,272.8
71,272.8,257.8
72,257.8,239.1
73,239.1,238.1
74,238.1,268.4
75,268.4,290.1
76,290.1,310.3
77,310.3,300.8
78,300.8,301.6
79,301.6,298.8
80,298.8,283.6
81,283.6,274.8
82,274.8,257.9
83,257.9,258.9
84,258.9,255.4
85,255.4,255.4
86,255.4,273.7
87,273.7,282.2
88,282.2,306.3
89,306.3,298.7
90,298.7,296.0
91,296.0,288.4
92,288.4,280.0
93,280.0,281.7
94,281.7,262.1
95,262.1,258.7
96,258.7,249.5
97,249.5,245.7
98,245.7,282.9
99,282.9,299.8
100,299.8,313.2
101,313.2,303.8
102,303.8,307.7
103,307.7,279.4
104,279.4,272.3
105,272.3,278.7
106,278.7,263.1
107,263.1,253.6
108,253.6,242.2
109,242.2,237.1
110,237.1,276.5
111,276.5,298.4
112,298.4,311.5
113,311.5,308.5
114,308.5,310.0
115,310.0,286.9
116,286.9,279.8
117,279.8,292.9
118,292.9,273.1
119,273.1,251.0
120,251.0,236.9
121,236.9,242.9
122,242.9,280.4
123,280.4,289.1
124,289.1,299.5
125,299.5,307.0
126,307.0,312.6
127,312.6,300.2
128,300.2,297.9
129,297.9,306.0
130,306.0,290.3
131,290.3,268.9
132,268.9,273.5
133,273.5,266.6
134,266.6,297.3
135,297.3,317.3
136,317.3,324.8
137,324.8,297.7
138,297.7,302.0
139,302.0,299.5
140,299.5,296.6
141,296.6,294.5
142,294.5,263.5
143,263.5,262.9
144,262.9,261.1
145,261.1,239.4
146,239.4,264.6
147,264.6,283.3
148,283.3,309.0
149,309.0,329.4
150,329.4,279.2
151,279.2,271.9
152,271.9,277.3
153,277.3,276.9
154,276.9,257.0
155,257.0,248.7
156,248.7,232.9
157,232.9,232.9
158,232.9,264.4
159,264.4,275.8
160,275.8,294.9
161,294.9,275.6
162,275.6,271.4
163,271.4,273.3
164,273.3,269.9
165,269.9,260.2
166,260.2,243.0
167,243.0,239.6
168,239.6,252.5
169,252.5,255.8
170,255.8,275.2
171,275.2,278.7
172,278.7,359.3
173,359.3,360.3
